ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
4238	2	4153	0	4	14	2.6
1623	1	7201	0	2	21	1.5
8282	1	1647	0	0	14	1
5534	2	8321	0	2	20	2.2
6692	1	4935	0	1	8	2.15
7836	1	2780	1	3	18	1.6
6251	1	503	0	3	22	2.4
2710	2	561	0	2	22	1.1
8343	2	8082	0	2	16	2.4
5982	2	2286	0	2	15	1.7
7225	1	5631	0	1	4	0.65
7680	2	1689	0	5	9	2.95
563	2	2857	0	1	29	3
3926	1	8835	0	2	25	2.6
8336	1	1353	1	1	29	1.2
7681	1	7842	0	1	22	2.6
4742	1	3914	0	0	21	2
1959	2	104	0	1	14	1.1
6472	2	2330	0	3	27	1.3
298	1	7221	0	2	18	2.7
4876	2	3655	0	3	8	1.15
7238	1	7780	0	2	18	2
3558	1	5895	1	0	26	1.9
6038	2	4482	1	3	22	2
8357	2	4822	0	1	5	3.1
9054	1	5084	1	4	8	1.5
1426	1	1515	1	0	8	0.65
3222	2	7020	0	4	4	2.65
5035	2	6403	0	2	17	2.7
6128	2	6443	1	2	26	2
2707	1	516	1	1	15	2
844	1	6174	0	2	25	2.2
8439	1	3333	1	3	23	2.1
2778	1	7814	0	1	29	2.3
342	2	8037	1	3	13	2.1
5929	1	1456	0	3	15	3.15
5146	1	8361	0	2	27	2.25
4774	2	1074	0	2	14	1.5
3280	1	6464	0	1	20	2.1
4458	2	3472	0	0	6	1.6
2798	1	5959	0	2	2	2.4
7262	2	8316	1	1	12	1.95
1326	2	1568	0	2	11	1.7
7653	2	4167	0	3	4	2.45
7776	1	1264	0	1	20	2.4
5991	2	5505	0	3	22	1.5
1674	1	4167	0	2	11	1.9
7655	1	2180	0	2	13	1.5
5516	1	8913	0	5	14	1.7
1738	2	4715	0	0	17	2.5
4262	1	8108	1	2	23	2
8135	2	5981	0	2	13	3
1972	2	5503	0	3	8	2.15
1663	1	8600	1	2	16	2.2
7751	1	6365	0	5	3	1.7
2102	1	7261	0	1	6	1.8
2307	1	7355	1	1	18	1.1
4906	1	8712	0	3	23	2.8
3545	1	2814	0	1	20	2.2
969	1	3356	1	1	12	1.6
6833	1	7956	1	1	2	1.1
5878	1	1568	0	2	6	1.8
5737	2	6375	0	1	29	1.9
5004	2	5585	0	1	29	2.1
4260	1	2467	1	2	8	1.75
8621	2	4672	0	2	15	2.35
1539	1	1037	1	1	9	2.1
2730	1	6252	0	4	14	2.1
8872	1	2857	1	0	17	1.9
3837	1	5220	0	3	4	2.7
5536	2	5561	0	2	20	1.8
7619	2	516	0	2	8	1.8
6107	2	7020	0	2	7	2.45
5301	1	5928	0	2	14	2.3
3967	2	7642	1	1	13	2
2269	1	6464	0	1	29	2.4
6454	1	4000	1	2	6	2.2
4818	1	6299	0	2	12	2.8
4079	2	3173	0	2	2	1.2
9038	2	801	0	1	7	2
6799	2	6503	1	5	9	1.675
4182	1	1725	0	2	15	3.15
2817	2	5103	0	1	20	3.2
669	2	1274	0	2	2	2.7
5053	2	8901	0	1	13	2.6
4991	1	6846	0	2	27	2.45
3149	1	2077	0	2	9	2.2
5714	2	1971	0	1	4	1.1
6708	1	1136	0	0	5	1
1507	1	3785	0	3	12	2.5
3587	1	6208	1	1	27	1.85
6599	2	7956	0	2	22	3
3778	2	6689	0	2	2	1.9
3313	1	5262	1	2	20	1.8
1317	1	7034	0	2	22	2
6148	2	1571	0	2	2	2.5
448	1	2611	0	1	12	1.8
3506	1	2665	0	2	5	2.7
6025	2	1900	1	0	20	2.2
15	2	4600	0	3	9	2.55
6214	1	5675	0	1	6	2.4
2134	1	6831	0	1	3	2.8
3459	2	1274	0	3	11	3
8314	2	5580	0	3	15	1.45
6426	2	6516	1	3	12	1.75
5324	1	4085	0	2	22	2.4
3384	2	3994	1	1	7	1.5
4966	2	3356	0	5	7	3
5442	1	3719	0	2	15	2.25
8229	2	1398	0	0	4	0.4
3554	1	745	0	1	18	1
4931	2	4485	0	5	4	1.85
5956	1	1568	0	2	18	1.9
5290	2	1074	1	3	22	1.9
3931	1	104	0	2	27	1.85
3824	2	8526	0	2	27	2.65
4861	1	3986	1	2	6	1.4
6171	2	3015	0	2	2	1.4
8763	1	2611	0	1	24	1.25
4877	2	2217	0	3	22	1.3
7190	2	8079	1	1	13	1.65
7389	2	450	0	3	13	1.8
1001	2	6015	0	3	7	3.25
6113	2	2476	0	1	6	2.2
709	1	3558	0	1	13	1.35
1758	1	2317	1	2	27	1.95
3216	1	1456	0	1	13	2.5
4582	2	772	0	1	12	1.35
593	2	1705	0	1	15	2.65
2846	2	6765	0	2	7	2.1
169	2	8364	1	3	11	1.5
5885	2	6717	0	2	22	2
819	2	2113	0	3	14	2.5
2497	1	6778	0	2	5	1.8
6041	1	3986	1	2	11	1.7
484	2	4626	0	2	23	1.8
541	2	8835	1	0	5	1.2
8794	1	8877	0	2	14	2.4
4889	2	3698	0	1	24	1.4
7519	1	6159	0	5	11	2.8
2089	2	7956	1	2	16	2.6
1471	1	6689	0	1	23	2.4
4660	1	3843	0	1	13	2
1581	2	4506	0	0	17	2.1
782	1	7020	1	2	26	1.9
2511	2	104	0	1	4	1.95
5486	1	6215	1	2	18	1.5
2705	2	1515	1	0	4	0.65
6859	2	4251	0	1	15	2.95
7194	1	3754	0	1	13	2.4
3771	1	582	0	5	22	3
5671	1	6257	0	0	14	1.2
682	1	2545	0	1	29	2.6
8140	1	5529	0	0	11	1
8823	2	8973	0	2	15	1.95
3251	2	6441	0	1	27	2.45
3270	1	6946	0	2	23	2.4
5494	1	8209	0	0	17	2.3
4552	1	6516	1	1	7	2.1
2077	1	335	0	3	4	2.15
1412	1	1257	0	2	18	2.3
5900	1	7908	0	2	22	2.2
4692	2	2682	1	2	23	2.4
243	2	2186	1	2	27	1.3
3196	1	552	1	2	5	1.8
4191	1	2665	1	4	23	2.5
4444	2	6526	0	1	12	2.7
7453	2	2467	0	3	14	2
8813	1	8712	0	3	18	2.6
7731	1	5920	0	2	13	2
3994	1	8364	0	2	23	2.9
4338	2	1647	0	1	8	2.15
3789	2	2548	0	2	13	2.1
1228	2	240	0	1	29	2.8
8092	2	4251	0	0	13	1.45
7952	2	4822	0	1	21	1.8
8416	1	8341	0	2	2	1.9
6646	1	3356	1	4	13	1.35
6188	2	2052	0	1	18	0.8
4735	1	3754	0	5	4	2.3
6217	2	7519	0	2	7	2.1
9015	1	1286	0	5	16	1.6
4892	1	745	1	2	7	1.7
2430	1	8345	1	1	9	1.9
3465	2	8249	1	1	7	2.5
7930	2	8848	0	0	21	1.6
4117	2	745	1	2	14	1.7
6448	1	2982	0	2	18	1.6
5506	2	6	0	5	15	2.8
7791	2	17	1	0	21	1
2922	1	7510	0	1	7	3
3986	1	8848	0	1	29	2.9
1411	1	1456	0	2	8	1.8
