ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
5672	2	6335	0	1	29	2
4500	1	2467	0	2	22	1.5
1790	2	5084	0	3	7	2.5
4236	2	2658	1	2	26	2.05
7399	1	6208	0	1	8	2.6
2870	1	668	0	2	18	2.6
4052	1	8361	0	1	9	2.2
7952	2	4822	0	1	21	1.8
5358	2	916	0	4	22	3.8
243	2	2186	1	2	27	1.3
6024	2	5067	0	2	19	1.9
5413	2	1674	1	1	7	1.2
3066	1	6106	0	2	8	2.15
7298	1	1107	0	1	2	1.2
4956	2	8108	0	2	20	3.1
7205	1	692	1	0	16	2.6
5804	2	6858	0	0	29	2.5
3909	2	2250	1	3	23	1.8
5853	2	5287	0	3	11	2.6
5834	2	7439	0	4	13	2.4
2520	2	6994	1	2	9	1.45
6113	2	2476	0	1	6	2.2
8159	1	5959	1	1	11	1.3
4954	1	132	0	2	1	2.25
627	2	2963	0	5	3	3.1
6902	2	5879	0	2	5	2.2
4102	1	7380	0	2	23	1
3832	1	4715	1	0	20	1.9
2230	2	6161	0	2	3	2.2
8507	1	5920	1	3	12	1.45
3208	1	2265	0	3	15	2.4
4145	2	6299	0	0	8	2.15
1350	1	5340	0	1	27	1.9
4196	2	8605	0	2	26	3
8546	2	1398	0	2	13	1.3
8264	2	1198	0	1	29	1.9
4122	1	7751	0	1	7	2.5
4587	1	5084	1	4	8	1.45
6338	1	3926	0	1	5	1.6
5245	2	3754	0	3	12	2.5
7380	1	6621	0	2	5	2.9
1879	2	6346	0	0	7	0.8
5532	2	4983	0	1	18	0.9
4673	1	4328	0	1	29	2.5
1711	1	1662	0	0	19	0.95
2795	1	1705	0	3	19	1.95
110	1	3432	0	0	5	1.4
8555	2	8427	0	3	3	2.1
9057	2	2635	0	1	13	2.5
651	2	5312	0	2	19	1.7
4191	1	2665	1	4	23	2.5
6069	1	3843	0	1	9	2.5
4871	1	6858	0	0	20	2.7
4445	2	3356	1	2	26	2.2
2488	2	1607	1	1	23	1.6
6997	1	2069	0	3	8	2.35
4386	2	3366	0	2	16	1.7
1180	2	8533	0	2	15	2.5
5311	2	8491	0	2	1	2.5
5607	1	1456	1	2	19	1.4
7374	1	6299	0	1	26	2.5
698	1	5033	1	0	19	0.75
544	2	5881	1	5	14	1.8
8965	2	6300	0	4	3	2.4
625	2	8533	0	3	12	1.8
1203	1	4195	0	2	10	1.92
2107	2	5314	0	2	2	1.7
5942	1	3785	1	3	19	1.4
4463	1	4506	0	1	20	3.3
6966	1	240	0	0	6	2.6
7513	1	2843	1	1	6	1.5
2969	1	2452	0	2	14	1.6
8354	1	7219	0	3	8	2
6129	2	4192	0	1	2	1.7
4478	2	263	0	5	14	2.5
4306	1	8841	0	4	23	2
7992	1	7638	1	2	16	1.4
6675	2	1042	0	0	17	1.8
4281	2	5631	1	0	15	0.9
5172	1	1221	0	1	18	1.6
8996	2	3747	0	1	13	3
5459	2	6027	1	3	6	2.1
2370	1	8345	1	1	27	2.05
7603	2	8504	1	0	8	1.25
2447	2	3015	1	2	22	1.7
4565	1	8407	0	4	13	1.9
2065	1	7842	0	2	2	1.9
1579	2	1916	1	2	16	2
5197	1	7312	0	3	1	2.8
7575	1	4888	0	5	19	1.95
1046	2	5169	1	1	26	0.75
7967	1	4783	0	5	12	2.8
2352	1	4553	0	1	18	1.6
5380	1	762	1	3	11	1.6
6908	1	2682	0	1	29	2.3
3248	1	3162	0	1	11	2.1
1215	1	3874	0	3	22	1.3
3025	2	2700	0	2	18	2.5
6223	2	6443	0	3	4	2.15
5230	1	2945	0	4	27	3.05
2974	1	7956	1	2	2	1.6
2290	1	2279	0	3	9	2.05
516	1	6516	0	2	4	2.05
677	1	6208	0	1	13	2.4
