id,dam,sire,Sex
2139,1314,,F
2140,1314,,F
2141,1314,,F
2142,919,,M
2143,919,,M
2144,919,,M
2145,919,,M
2146,919,,F
2147,1345,,F
2148,1345,,M
2149,1345,,F
2150,1345,,M
2151,1345,,F
2152,1345,,F
2153,1345,,F
2154,1323,,F
2155,1323,,F
2156,1323,,F
2157,1323,,F
2158,1367,,M
2159,1367,,F
2160,1367,,M
2161,1367,,F
2162,1357,,F
2163,1324,,F
2164,1324,,M
2165,1324,,F
2166,1324,,M
2167,1325,,M
2168,1325,,M
2169,1325,,M
2170,1350,,M
2171,1350,,F
2172,1350,,M
2173,1350,,F
2174,1377,,M
2175,1377,,F
2176,1377,,M
2177,1335,,F
2178,803,,F
2179,803,,M
2180,803,,F
2181,803,,F
2182,90,,M
2183,810,,F
2184,810,,M
2185,810,,F
2186,758,,M
2187,788,,F
2188,788,,M
2189,788,,F
2190,1410,,M
2191,1265,,M
2192,1265,,M
2193,1265,,M
2194,1265,,F
2195,1265,,F
2196,1337,,F
2197,1337,,F
2198,1337,,F
2199,1297,,M
2200,1297,,F
2201,1297,,F
2202,1297,,F
2203,1297,,M
2204,1297,,F
2205,1297,,F
2206,1298,,F
2207,1298,,F
2208,1298,,F
2209,1298,,F
2210,1298,,M
2211,1298,,M
2212,1298,,M
2213,1243,,M
2214,1243,,M
2215,1276,,M
2216,1276,,M
2217,1276,,M
2218,1276,,M
2219,1276,,F
2220,1276,,F
2221,1276,,F
2222,1276,,M
2223,1404,,F
2224,1404,,M
2225,1404,,M
2226,1404,,M
2227,1402,,F
2228,1402,,M
2229,1402,,F
2230,1613,,F
2231,1613,,F
2232,1613,,F
2233,1613,,M
2234,1613,,F
2235,1613,,F
2236,1614,,M
2237,933,,M
2238,933,,F
2239,933,,F
2240,1239,,F
2241,1239,,F
2242,1239,,F
2243,1239,,F
2244,935,,M
2245,935,,M
2246,935,,M
2247,935,,M
2248,1669,,M
2249,1669,,M
2250,1669,,M
2251,1669,,M
2252,1942,,F
2253,1942,,M
2254,1942,,F
2255,1946,,M
2256,1946,,M
2257,1926,,F
2258,1926,,F
2259,1926,,F
2260,1983,,F
2261,1983,,M
2262,1988,,F
2263,1988,,F
2264,1988,,F
2265,1990,,M
2266,1990,,F
2267,1223,,F
2268,1223,,M
2269,1223,,M
2270,1643,,F
2271,1643,,F
2272,1643,,F
2273,1643,,F
2274,1513,,M
2275,1569,,F
2276,1569,,M
2277,1569,,M
2278,1569,,F
2279,1352,,F
2280,1352,,F
2281,1352,,M
2282,1235,,M
2283,1235,,M
2284,1235,,M
2285,1336,,M
2286,1336,,M
2287,1327,,F
2288,1327,,M
2289,1327,,M
2290,1327,,F
2291,2016,,M
2292,2016,,F
2293,2016,,M
2294,1875,,F
2295,1875,,M
2296,1875,,M
2297,1875,,M
2298,1876,,F
2299,1876,,F
2300,1876,,F
2301,1887,,M
2302,1887,,M
2303,1887,,M
2304,1883,,M
2305,1883,,F
2306,1883,,M
2307,1904,,M
2308,1904,,F
2309,1904,,M
2310,1905,,M
2311,1905,,M
2312,1905,,F
2313,1884,,F
2314,1884,,F
2315,1884,,F
2316,1884,,F
2317,1999,,F
2318,1999,,M
2319,1999,,F
2320,1894,,F
2321,1894,,M
2322,1894,,M
2323,2001,,F
2324,2001,,F
2325,1237,,F
2326,1237,,M
