animal,dam,sire,Sex,BYEAR,DYEAR,Death.Type,LRS
2549,1352,,F,1997,2002,natural,0
2478,90,,F,1997,1997,natural,0
2451,625,,F,1997,1997,natural,0
2454,708,,F,1997,1997,natural,0
2448,771,,F,1997,1997,natural,0
2445,773,,F,1997,1997,natural,0
2479,788,,F,1997,1997,natural,0
2480,788,,F,1997,1997,natural,0
2514,933,,F,1997,0,natural,0
2518,935,,F,1997,1997,natural,0
2519,935,,F,1997,1997,natural,0
2452,1203,,F,1997,1997,natural,0
2516,1239,,F,1997,1997,natural,0
2515,1239,,F,1997,1997,natural,0
2488,1243,,F,1997,1997,natural,0
2547,1247,,F,1997,1997,natural,0
2548,1247,,F,1997,1997,natural,0
2496,1276,,F,1997,1997,natural,0
2463,1323,,F,1997,1997,natural,0
2466,1323,,F,1997,1997,natural,0
2467,1324,,F,1997,1997,natural,0
2561,1327,,F,1997,1997,natural,0
2559,1327,,F,1997,1997,natural,0
2560,1327,,F,1997,1997,natural,0
2557,1336,,F,1997,1997,natural,0
2556,1336,,F,1997,1997,natural,0
2550,1352,,F,1997,1997,natural,0
2551,1352,,F,1997,1997,natural,0
2504,1402,,F,1997,1997,natural,0
